prog_id,target_name,target_id
2,+01755,563
14,+06648,2178
2,+17841,7055
56,+182930,7262
2,+19832,8039
2,+22669,9362
2,+23755,9464
46,+242584,9466
2,+24692,10237
46,+252465,10236
46,+252466,10181
46,+252530,10222
46,+252544,10322
46,+252555,10209
46,+252556,10290
46,+252564,10399
46,+262355,10496
46,+262378,10672
46,+262380,10820
46,+262390,10769
54,+26730,11283
46,+272154,10974
46,+272164,11053
46,+272174,11182
46,+272180,10989
46,+282132,11388
46,+282140,11479
46,+282165,11623
46,+282176,11480
46,+282189,11485
2,+28624,12320
17,+291553,12129
56,+291553,12129
46,+292294,11936
46,+292309,12222
46,+292316,12055
46,+292322,12058
46,+292347,12181
46,+292351,12069
46,+302274,12589
46,+302309,12380
46,+302315,12560
46,+302318,12731
46,+302320,12391
46,+302326,12430
46,+302332,12497
46,+302353,12505
46,+312381,13218
46,+312394,13035
46,+312404,13015
46,+312417,13233
46,+322247,13512
46,+322267,13527
46,+322273,13593
46,+322286,13477
46,+322295,13436
46,+332247,13782
46,+332254,13649
46,+332255,13866
46,+332267,13934
46,+332271,13831
46,+342349,14272
2,+34927,14368
56,+362284,15094
56,+372296,15259
2,+37878,16061
2,+37878A,16060
2,+37878B,16062
2,+42812,17814
2,+42812B,17817
54,+463471,19392
56,+532790,21480
45,-213873,29784
58,0000+55,21718
58,0001+39,16842
58,0004+42,17970
58,0005-25,30355
58,0007+54,21560
42,0007.4+1051,3786
44,0009+1417,5548
44,0011+0840,2850
58,0012-32,31747
44,0014+16NE,6370
44,0014+16SW,6367
14,0014+81,23653
44,0015+1603,6286
42,0015.1+1603,6286
58,0019+26,11239
58,0020+55,21743
58,0021-09,26602
58,0022+69,23318
56,002358A,6167
58,0029+25,10854
44,0031-0646,25815
42,0031.9-0646,25815
58,0034+62,22931
32,0036+3309,14042
47,0039-02,24341
58,0045+53,21285
58,0049+47,19471
10,005,1833
58,0103+12,4901
58,0103-31,31693
58,0108+30,12983
10,011,1646
58,0114+08,2840
58,0121+60,22765
86,01220-5759A,33426
58,0128+02,874
58,0130+46,19151
44,0132+2101,8545
58,0156+54,21544
10,019,1740
58,0202+40,17211
58,0213-20,29567
44,0214+1813,7339
58,0214+78,23591
42,0214.9+1813,7339
58,0223-00,23798
58,0225+51,20715
58,0231+64,23060
58,0231-13,27690
44,0233+06,2227
58,0233+34,14367
32,0234-0210,24376
47,0234-03,24741
32,0235+1631,6488
58,0235-27,30739
10,024,1783
44,0244+1909NW,7778
44,0244+1909SE,7776
47,0244-00,23803
44,0257+0733,2446
47,0257+0733,2446
42,0257.4+0733,2446
44,0300-1528,28224
42,0300.1-1528,28224
14,0303+17,6887
44,0303+17,6887
42,0303.8+1717,6887
32,0307+1424,5559
58,0308+14,5622
32,0308+1413,5502
58,0309-23,30039
58,0316+32,13954
32,0318-1926,29256
44,0327-24,30146
10,033,1663
58,0331-16,28464
32,0333+0607,1980
44,0337-02,24359
42,0337.6-0202,24359
58,0345+50,20675
58,0347+63,22993
44,0348-1404,27886
58,0350+11,3897
58,0353-24,30140
56,0355+01,422
44,0356+10,3502
42,0356.9+1011,3502
10,036,1765
