target_id,rank,sep,simbad_identifier,ra,pm_ra,dec,pm_dec,ra_d,dec_d,plx,rv,z,magB,magV,sp_type
5,2,8.26,2MASS J23415511+0000013,23:41:55.12,244,+00:00:01.3,-37,355.47967,+00.00036,~,~,~,~,~,~
38,2,0.03,HD 164509,18:01:31.22790,-7.40,+00:06:16.3990,-20.98,270.38011626,+00.10455527,19.07,13.63,0.000045,8.723,8.103,G2V
40,2,0.58,** GIC 122,14:52:30.6,~,+00:06:37,~,223.1275,+00.1103,~,~,~,~,~,~
49,2,8.5,SSV LDN 1630 15,05:46:35.5,~,+00:08:51,~,086.6479,+00.1475,~,~,~,~,~,~
54,2,0.06,HD 167278,18:14:33.65346,17.98,+00:10:32.9342,-31.02,273.64022276,+00.17581504,8.74,-14.70,-0.000049,8.08,7.67,F5V
54,3,1.29,HD 167278B,18:14:33.736,19.5,+00:10:32.81,-35.3,273.640567,+00.175781,~,~,~,8.94,8.49,~
55,2,0.56,PPM 700433,12:17:15.380,-147.0,+00:10:38.06,-164.0,184.314083,+00.177239,~,~,~,~,10.5,~
62,2,4.62,* d Ser,18:27:12.50775,-3.67,+00:11:45.9912,-8.61,276.80211561,+00.19610865,6.95,-23.3,-0.000078,5.71,5.21,A0Vs+G:III
62,3,4.73,* d Ser A,18:27:12.515,8.5,+00:11:45.90,-21.5,276.802146,+00.196083,~,~,~,5.839,5.322,A0IV
68,2,0.46,** KUI 107,21:32:11.9,~,+00:13:18,~,323.0496,+00.2217,~,~,~,~,~,~
74,2,2.41,** LDS 836,00:45:10.8,~,+00:15:12,~,011.2950,+00.2533,~,~,~,~,~,~
77,2,0.11,HD 149806A,16:37:08.428,92.4,+00:15:15.59,74.6,249.285117,+00.254331,~,~,~,7.916,7.065,~
77,3,6.37,HD 149806B,16:37:08.580,~,+00:15:21.66,~,249.285750,+00.256017,~,~,~,~,13.0,~
91,2,0.11,HD 49385,06:48:11.50304,-61.84,+00:18:17.8965,39.49,102.04792932,+00.30497126,13.91,33.00,0.000110,7.93,7.42,G0V
91,3,7.51,HD 49385B,06:48:11.790,~,+00:18:11.88,~,102.049125,+00.303300,~,~,~,~,11.5,~
93,2,8.54,HD 1329A,00:17:28.773,20.4,+00:19:16.42,106.5,004.369887,+00.321228,~,~,~,8.367,7.818,~
93,3,8.55,HD 1329,00:17:28.77097,17.40,+00:19:16.4574,108.04,004.36987905,+00.32123817,7.99,20.60,0.000069,~,~,F8V
94,2,0.09,HD 1329A,00:17:28.773,20.4,+00:19:16.42,106.5,004.369887,+00.321228,~,~,~,8.367,7.818,~
94,3,8.48,HD 1329B,00:17:28.404,-32.1,+00:19:10.04,-9.1,004.368350,+00.319456,~,~,~,~,11.92,~
117,2,5.24,HD 77484,09:02:50.65278,-15.87,+00:24:29.5445,-2.96,135.71105324,+00.40820682,4.77,32.90,0.000110,8.02,8.04,B9.5V
118,2,4.08,BD+00 2451B,09:02:50.9,~,+00:24:28,~,135.7121,+00.4078,~,~,~,~,11.8,G5V
129,2,0.1,NAME HIP 116454 b,23:35:49.28,~,+00:26:43.8,~,353.95533,+00.44550,~,~,~,~,~,~
132,2,0.83,IRAS 20546+0016,20:57:10.61,~,+00:27:48.9,~,314.29421,+00.46358,~,~,~,~,~,~
137,2,0.6,IRAS 20368+0018,20:39:24.92,~,+00:29:11.6,~,309.85383,+00.48656,~,~,~,~,~,~
142,2,0.72,PMSC 16363+0042,16:41:20.9,~,+00:30:27,~,250.3371,+00.5075,~,~,~,~,~,~
152,2,0.15,** KUI 22AB,05:58:49.58,~,+00:33:10.7,~,089.70658,+00.55297,~,~,~,~,~,~
152,3,0.25,IRAS 05562+0032,05:58:49.56,~,+00:33:10.5,~,089.70650,+00.55292,~,~,~,~,~,~
154,2,0.15,IDS 08432+0055,08:48:18.30,~,+00:33:18.1,~,132.07625,+00.55503,~,~,~,~,~,~
